|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
577|KickerPicker.com|150000.0|Marketplaces|150000|operating|LTU|Vilnius|1|2013.0|online platforms and marketplaces|1
578|KienVe|40000.0|Social Network Media|40000|operating|USA|Miami|1|2012.0|online platforms and marketplaces|0
579|Kincast|310000.0|Messaging|310000|operating|USA|Palo Alto|1|2010.0|online platforms and marketplaces|0
580|Kismet|770000.0|Social Media|770000||USA|San Francisco|2|2011.0|online platforms and marketplaces|0
581|KitOrder|80000.0|E-Commerce|80000|operating|USA|Sausalito|1|2010.0|online platforms and marketplaces|0
582|Kitsy Lane|1041900.0|E-Commerce|6459900|operating|USA|Maynard|4|2012.0|online platforms and marketplaces|0
583|Klixbox Media (T/A)|50000.0|Media|50000|operating|GBR||1|2013.0|online platforms and marketplaces|0
584|Known|50000.0|Social Media|50000|operating|||1|2014.0|online platforms and marketplaces|0
585|Knowrom|40000.0|Social Media|40000|operating|CZE|Lkan|1|2012.0|online platforms and marketplaces|0
586|Knozen|2250000.0|Social Search|2250000|operating|USA|New York|1|2013.0|online platforms and marketplaces|0
587|Kohort|3000000.0|Social Media|3000000|operating|USA|New York|1|2011.0|online platforms and marketplaces|0
588|Konnecti.com|50000.0|Enterprise Software|450000|operating|USA|Atlanta|2|2012.0|online platforms and marketplaces|1
589|Kopi|100000.0|E-Commerce|100000|operating|GBR|Cambridge|1|2011.0|online platforms and marketplaces|0
590|Kraftwurx|200000.0|E-Commerce|420000|operating|USA|Cypress|2|2011.0|online platforms and marketplaces|0
591|Kviar Groupe|925216.0|Online Reservations|1553004|operating|ESP|Barcelona|2|2012.0|online platforms and marketplaces|0
592|Kynded|100000.0|Social Media|100000|operating|USA|San Francisco|1|2012.0|online platforms and marketplaces|0
593|LE TOTE|1750000.0|E-Commerce|10550000|operating|USA|San Francisco|2|2012.0|online platforms and marketplaces|0
594|LIQUITY|20352.0|Marketplaces|245703|operating|GBR|London|2|2013.0|online platforms and marketplaces|0
595|LOANZ|2000000.0|Marketplaces|2000000|operating|||1|2013.0|online platforms and marketplaces|0
596|LOFTY|2000000.0|Marketplaces|2250000|operating|USA|New York|3|2012.0|online platforms and marketplaces|0
597|LXSN|25000.0|Social Media|25000|operating|USA|Palo Alto|1|2012.0|online platforms and marketplaces|0
598|Lagiar|40000.0|E-Commerce|40000|operating|BRA|Belo Horizonte|1|2012.0|online platforms and marketplaces|0
599|Larger Than Life Prints|75000.0|E-Commerce|75000|operating|USA|Philadelphia|1|2008.0|online platforms and marketplaces|0
600|Latina Researchers Network|40000.0|Social Media|40000|operating|USA|New York|1|2012.0|online platforms and marketplaces|0
601|LaunchSide.com|25000.0|Finance|25000|operating|USA|Tualatin|1|2011.0|online platforms and marketplaces|1
602|Leap.it|1600000.0|Search|5390000|operating|USA|Kansas City|6|2011.0|online platforms and marketplaces|0
603|LemonCrate|45000.0|E-Commerce|45000|operating|USA|Millbrae|1|2011.0|online platforms and marketplaces|0
604|LendLayer|400000.0|Peer-to-Peer|400000|operating|USA|San Francisco|1|2014.0|online platforms and marketplaces|0
605|Leo|1500000.0|Messaging|1500000|operating|USA|San Francisco|1|2013.0|online platforms and marketplaces|0
606|Let's Gift It|250000.0|E-Commerce|250000|operating|USA|New York|2|2010.0|online platforms and marketplaces|0
607|Lexpertia.com|41004.0|Algorithms|41004|operating|GBR|London|1|2010.0|online platforms and marketplaces|1
608|Lidyana.com|1000000.0|Fashion|10000000|operating|TUR|Istanbul|3|2012.0|online platforms and marketplaces|1
609|Lifestander|31000.0|Social Network Media|31000|closed|USA|New York|1|2010.0|online platforms and marketplaces|0
610|Liftago|750000.0|Marketplaces|2000000|operating|CZE|Prague|2|2012.0|online platforms and marketplaces|0
611|Liibook|70052.0|E-Commerce|70052||USA|Redwood City|1|2010.0|online platforms and marketplaces|0
612|Like a Local|100000.0|Online Reservations|100000|operating|EST|Tallinn|1|2012.0|online platforms and marketplaces|0
613|Likelii|450000.0|E-Commerce|450000|operating|USA|Cambridge|1|2011.0|online platforms and marketplaces|0
614|LilLuxe|1200000.0|Flash Sales|1200000|closed|USA|Sausalito|1|2010.0|online platforms and marketplaces|0
615|Liquidations Enchere Limited|150000.0|E-Commerce|150000|operating|||1|2013.0|online platforms and marketplaces|0
616|Little Bird|18000.0|Social Media|2741668|operating|USA|Portland|4|2011.0|online platforms and marketplaces|0
617|Little Borrowed Dress|1250000.0|E-Commerce|1550000|operating|||2|2010.0|online platforms and marketplaces|0
618|Little1|100000.0|E-Commerce|100000|operating|USA||1|2012.0|online platforms and marketplaces|0
619|Littlecast|2000000.0|Social Network Media|2000000|operating|USA|San Francisco|1|2013.0|online platforms and marketplaces|0
620|LiveExercise|100000.0|Social Media|100000|operating|USA|Boca Raton|1|2012.0|online platforms and marketplaces|0
621|LocalMaven.com|210000.0|E-Commerce|1290000|operating|USA|New York|2|2012.0|online platforms and marketplaces|1
622|Loccit (ML4D)|480193.0|Social Media|480193|operating|GBR|Bristol|1|2011.0|online platforms and marketplaces|0
623|Lokalite|100000.0|Social Media|400000|operating|USA|Boulder|2|2010.0|online platforms and marketplaces|0
624|Lolly Wolly Doodle|1700000.0|E-Commerce|22952986|operating|USA|Lexington|2|2009.0|online platforms and marketplaces|0
625|Lookmash|160000.0|E-Commerce|160000|operating|POL|Gdansk|1|2011.0|online platforms and marketplaces|0
626|Loop Commerce|1000000.0|E-Commerce|13200000|operating|USA|Mountain View|3|2012.0|online platforms and marketplaces|0
627|Lorena Gaxiola|1500000.0|E-Commerce|1500000|operating|USA|San Diego|1|2013.0|online platforms and marketplaces|0
628|LoveLab.com|500000.0|Social Media|500000|operating|USA|Los Angeles|1|2014.0|online platforms and marketplaces|1
629|LoveSurf|200000.0|E-Commerce|200000|operating|USA|San Clemente|1|2012.0|online platforms and marketplaces|0
630|Lovli|717888.0|Flash Sales|717888|operating|ITA|Milan|1|2013.0|online platforms and marketplaces|0
631|Lucky Sort|500000.0|Social Media|500000|acquired|USA|Portland|1|2011.0|online platforms and marketplaces|0
632|LuckyPennie|20000.0|Social Media|20000|operating|USA|Los Angeles|1|2012.0|online platforms and marketplaces|0
