|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
1996|CreateTrips|600000.0|Travel|600000.0|operating|FIN|Helsinki|1.0|2013.0|events, travels, leisure and entertainment
1997|Creative Allies|370000.0|Crowdsourcing|833197.0|operating|USA|Asheville|2.0|2009.0|online platforms and marketplaces
1998|Creative Logic Media|50000.0|Consulting|50000.0|closed|||1.0|2006.0|services
1999|Creative Market|1000000.0|Design|2300000.0|acquired|USA|San Francisco|2.0|2011.0|services
2000|CreativeWorx|400000.0|Software|400000.0|operating|USA|New York|1.0|2011.0|technology
2001|Credible|1500000.0||||||||
2002|Credii|90000.0||||||||
2003|Credit Coach|100000.0|Software|1000000.0|closed|USA|Kaukauna|2.0|2008.0|technology
2004|CreditPing.com|580000.0|Credit|580000.0|operating|USA|Los Angeles|1.0|2009.0|financials
2005|Creisoft, Inc.|170000.0|Real Estate|245000.0|operating|USA|Charlotte|2.0|2012.0|financials
2006|Crescent Unmanned Systems|250000.0|Security|250000.0|operating|USA|New Orleans|1.0|2011.0|services
2007|Crestone Telecom|135000.0|Mobile|135000.0|operating|USA|Crestone|1.0|2011.0|consumer electronics
2008|Crew|2600000.0||||||||
2009|Creww|300000.0|Social Media|1500000.0|operating|JPN|Tokyo|2.0|2012.0|online platforms and marketplaces
2010|Cribspot|660000.0|Real Estate|1147034.0|operating|USA|Detroit|2.0|2013.0|financials
2011|CricHQ|353773.0|Sports|11182848.0|operating|NZL|Wellington|5.0|2010.0|events, travels, leisure and entertainment
2012|Crispy Driven Pixels|25000.0|Art|50000.0|operating|||2.0|2012.0|events, travels, leisure and entertainment
2013|Crispy Games Private Limited|40000.0|Games|40000.0|operating|IND|Mumbai|1.0|2011.0|events, travels, leisure and entertainment
2014|Cristal Studios|429420.0|Games|429420.0|operating|MLT|Valletta|1.0|2009.0|events, travels, leisure and entertainment
2015|Criterion Security|250000.0|Security|250000.0|operating|USA|Nashville|1.0|2010.0|services
2016|CriticMania.com|480000.0||||||||
2017|Critique^It|600000.0|Education|600000.0|operating|USA|Long Beach|1.0|2008.0|education
2018|Crittercism|1220000.0||||||||
2019|Croak.it|40000.0|Curated Web|40000.0|operating|USA|Philadelphia|1.0|2012.0|services
2020|Crono|25000.0|Software|25000.0|closed|USA|Pittsburgh|1.0|2008.0|technology
2021|Cronote|11000.0|Messaging|11000.0|operating|USA|Fountain Valley|1.0|2010.0|online platforms and marketplaces
2022|CropUp|1000000.0|Payments|1000000.0|operating|USA|Brooklyn|1.0|2012.0|financials
2023|Cross Current|833333.0|Software|833333.0|operating|USA|Doylestown|1.0|1994.0|technology
2024|Crosswise|2000000.0|Ad Targeting|2000000.0|operating|ISR|Tel Aviv|1.0|2013.0|sales, marketing and advertising
2025|Crowd Analyzer|24000.0|Analytics|24000.0|operating|||1.0|2013.0|technology
2026|Crowd Cast|255510.0|Software|255510.0|operating|JPN|Tokyo|1.0|2011.0|technology
2027|Crowd Play|500000.0|Search|500000.0|operating|USA|New York|1.0|2012.0|technology
2028|Crowd Source Capital Ltd|83410.0|Crowdfunding|83410.0|operating|GBR|London|1.0|2009.0|online platforms and marketplaces
2029|Crowd Supply|500000.0|E-Commerce|500000.0|operating|USA|Portland|1.0|2012.0|online platforms and marketplaces
2030|CrowdClock|80000.0|Developer APIs|80000.0|operating|USA|Carlsbad|1.0|2012.0|technology
2031|CrowdCurity|1000000.0|Marketplaces|1470000.0|operating|||2.0|2013.0|online platforms and marketplaces
2032|CrowdEngineering|350000.0|Enterprise Software|4350000.0|operating|USA|Boston|2.0|2008.0|technology
2033|CrowdFeed|25000.0|Big Data|25000.0|operating|USA|Dallas|2.0|2013.0|technology
2034|CrowdFlik|400000.0|Brand Marketing|400000.0|operating|USA|New York|1.0|2012.0|sales, marketing and advertising
2035|CrowdFlower|1200000.0|Cloud Data Services|28000000.0|operating|USA|San Francisco|4.0|2009.0|technology
2036|CrowdHall|770000.0||||||||
2037|CrowdMed|2380000.0||||||||
2038|CrowdMedia|191876.0||||||||
2039|CrowdMob|1000000.0|Mobile|1000000.0|operating|USA|San Francisco|1.0|2010.0|consumer electronics
2040|CrowdPC|100000.0|Networking|880000.0|closed|USA|Nashville|3.0|2012.0|technology
2041|CrowdProcess|150000.0|Software|150000.0|operating|PRT|Lisbon|2.0|2011.0|technology
2042|CrowdSling|40000.0|Tech Field Support|40000.0|closed|USA|Greendale|1.0|2011.0|technology
2043|CrowdStreet|800000.0|Internet|1475000.0|operating|USA|Portland|2.0|2013.0|technology
2044|CrowdTransfer|40000.0|P2P Money Transfer|40000.0|operating|CHL|Santiago|1.0|2014.0|financials
2045|CrowdTwist|750000.0|Travel|16176000.0|operating|USA|New York|6.0|2009.0|events, travels, leisure and entertainment
2046|CrowdWorks|120000.0|Curated Web|14570000.0|operating|JPN|Tokyo|4.0|2011.0|services
2047|Crowdability|1000000.0|Information Services|1000000.0|operating|USA|New York|1.0|2014.0|services
2048|Crowdbaron|100000.0|Startups|100000.0|operating|HKG|Kowloon City|1.0|2012.0|services
2049|Crowdbase|650000.0|Crowdsourcing|650000.0|operating|CAN|Quebec|1.0|2011.0|online platforms and marketplaces
2050|Crowdfunder|800000.0||||||||
2051|Crowdfynd|190000.0||||||||
2052|Crowdlinker|908000.0||||||||
2053|Crowdly|1410000.0||||||||
2054|Crowdmark|786993.0||||||||
2055|Crowdnetic|1900000.0|Finance|1900000.0|operating|USA|New York|1.0|2011.0|financials
2056|Crowdpac|2100000.0|Big Data|2100000.0|operating|USA|Menlo Park|1.0|2013.0|technology
2057|Crowdsourced Testing co.|93016.0||||||||
2058|Crowdsourcing.org|250000.0|Finance|250000.0|operating|USA|Los Angeles|1.0|2010.0|financials
2059|Crowdtap|3000000.0|Social Media|15000000.0|operating|USA|New York|3.0|2009.0|online platforms and marketplaces
2060|Crowdvance|196500.0||||||||
2061|Crowdx|2000000.0||||||||
2062|CrowdyHouse|70000.0|Flash Sales|70000.0|operating|NLD|Amsterdam|1.0|2013.0|online platforms and marketplaces
2063|Crowdzu|35000.0|Fashion|35000.0|operating|USA|New York|1.0|2012.0|other consumer retail
2064|Crown in Town|30000.0|Maps|130000.0|operating|USA|Puyallup|2.0|2009.0|other
2065|Crowsnest|138000.0||||||||
2066|Crude Area|115015.0|Product Design|115015.0|operating|IND|Mumbai|2.0|2012.0|services
2067|Cruise Compare|100000.0|Travel|253194.0|closed|GBR|Binton|2.0|2011.0|events, travels, leisure and entertainment
2068|CruiseWise|40000.0|Travel|1740000.0||USA|San Francisco|4.0|2010.0|events, travels, leisure and entertainment
2069|Crunchbutton|430000.0|E-Commerce|430000.0|operating|USA|Los Angeles|1.0|2012.0|online platforms and marketplaces
2070|Crunched|1400000.0|Analytics|1400000.0|acquired|USA|New York|1.0|2010.0|technology
2071|Crushpath|2000000.0|Sales and Marketing|8000000.0|operating|USA|San Francisco|2.0|2011.0|sales, marketing and advertising
2072|Crypteia Networks|861714.0||||||||
2073|CryptoSeal|280000.0|Networking|280000.0|acquired|||1.0|2011.0|technology
2074|Cryptopay|65000.0|E-Commerce|65000.0|operating|GBR|London|1.0|2013.0|online platforms and marketplaces
2075|Crystalsol|2819200.0|Clean Technology|2819200.0|operating|NIC||1.0|2008.0|technology
2076|Ctrip|500000.0|Business Services|500000.0|operating|CHN|Shanghai|3.0|1999.0|services
2077|CubeSensors|700000.0|Sensors|700000.0|operating|SVN|Ljubljana|1.0|2013.0|technology
2078|CubeTree|325000.0|Web Tools|11500000.0|acquired|USA|Redwood City|3.0|2004.0|technology
2079|Cubeacon|61494.0|SaaS|61494.0|operating|JPN|Chiba|1.0|2013.0|services
2080|Cubeyou|1440600.0|Marketing Automation|6065500.0|operating|ITA|Milan|2.0|2010.0|sales, marketing and advertising
2081|Cubic Robotics|650000.0|Home Automation|650000.0|operating|||1.0|2012.0|technology
2082|Cubicl|65000.0|iPhone|130000.0|operating|USA|Los Angeles|2.0|2009.0|consumer electronics
2083|Cubie|1100000.0|Mobile|1100000.0|operating|TWN|Taipei|1.0|2012.0|consumer electronics
2084|Cubikal|10000.0|Mobile|10000.0|closed|USA|San Francisco|1.0|2012.0|consumer electronics
2085|Cubilog|600000.0|Internet of Things|600000.0|operating|HUN|Budapest|1.0|2013.0|technology
2086|Cubresa|500000.0|Biotechnology|500000.0|operating|CAN|Winnipeg|1.0|2011.0|technology
2087|Cue|1430000.0||||||||
2088|CueThink|18000.0|Education|168000.0|operating|USA|Boston|2.0|2012.0|education
2089|Cuipo|2500000.0|Big Data|2500000.0|operating|USA|Newport Beach|1.0|2010.0|technology
2090|Culinary Agents|500000.0|Human Resources|500000.0|operating|||1.0|2012.0|services
2091|Cultivate IT Solutions & Management Pvt. Ltd.|20000.0|Software|20000.0|closed|IND|Ghaziabad|1.0|2010.0|technology
2092|Culturalite|1300000.0|Media|1300000.0|operating|CAN|Toronto|1.0|2011.0|online platforms and marketplaces
2093|Culture Jam|1200000.0|Mobile|1700000.0|operating|USA|Los Angeles|2.0|2008.0|consumer electronics
2094|CultureIQ|200000.0|Software|200000.0|operating|USA|New York|1.0|2013.0|technology
2095|CumuLogic|750000.0||||||||
2096|Cupoint|700000.0|Coupons|700000.0|operating|ARG|Buenos Aires|1.0|2010.0|other consumer retail
2097|Cuponzote|40000.0|Advertising|40000.0|operating|MEX|Garza García|4.0|2010.0|sales, marketing and advertising
2098|Cupple|15000.0|Privacy|15000.0|operating|GBR||1.0|2011.0|services
2099|CurTran|6280000.0|Manufacturing|6280000.0|operating|USA|Spring|1.0|2011.0|industrial
2100|Cura TV|67000.0|Mobile Commerce|67000.0|operating|GBR|London|1.0|2014.0|online platforms and marketplaces
